,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Tips
114,Fish Hoek Beach,Beach,877,-34.13711698645851,18.43428611755371,4b6d405af964a5209f6d2ce3,Fish Hoek,93,18
115,Woolworths,Grocery Store,597,-34.138555570681795,18.43128204345703,4c618eeba2749521b0b49693,Fish Hoek,3,0
116,SPAR,Grocery Store,688,-34.13270067,18.42109237,4c833b871b63b7130a629204,Fish Hoek,2,0
117,Shell,Gas Station,616,-34.13777558,18.43151341,4d1cd48e763fb1f755338e66,Fish Hoek,0,0
118,Valyland Shopping Centre,Convenience Store,677,-34.13272690003411,18.421267386913758,4da028eb54dd8cfa759f5372,Fish Hoek,2,0
119,Milnerton Golf Club,Golf Course,763,-33.875475232638976,18.489646911621094,4b4e096cf964a52022df26e3,Milnerton,7,2
120,Milnerton Beach,Beach,875,-33.881407379610735,18.487219285702455,4d03505a28926ea83fe664c2,Milnerton,18,7
121,Spar,Supermarket,367,-33.882659559840754,18.495483543054522,4c48280b417b20a154e5dfa9,Milnerton,6,0
122,Milnerton Lighthouse,Lighthouse,829,-33.88168362231586,18.487823009490967,4d1b3580c5f5b1f7d6efd936,Milnerton,6,2
123,Shoprite,Supermarket,439,-33.88338483819892,18.496053,4c83673d74d7b60cb68c89d8,Milnerton,2,0
124,Pick n Pay,Grocery Store,593,-33.883956984744714,18.49297523929011,4c5d20467f661b8d6d944a1c,Milnerton,0,0
125,MyCiti Bus Station Woodbridge,Bus Station,633,-33.88332388009065,18.49137490717351,4dc029806a23e5a549e53d06,Milnerton,1,4
126,MyCiti Bus Station Milnerton,Bus Station,855,-33.87179402544068,18.495531539049853,4dc02a0643a147cd6ed23555,Milnerton,0,0
127,Maynardville Open-Air Theatre,Performing Arts Venue,326,-34.005308220034564,18.464357228788796,4b616a99f964a520ce122ae3,Wynberg,19,5
128,Jakes on Summerley,Gastropub,920,-33.99553438689696,18.469318973060627,4c1e0119fcf8c9b60d97ac0b,Wynberg,12,10
129,Wynberg Pharmacy,Pharmacy,554,-34.00837691487928,18.46904640899824,4bd88cdcf645c9b6543aa8e0,Wynberg,8,5
130,Maynard Mall,Shopping Mall,530,-34.00553503820076,18.46198811421251,4cbc83a6bac937047cb2f87c,Wynberg,2,4
131,Wynberg Boys High Astroturf,Soccer Field,530,-34.00064259697205,18.46276478733513,4e4f477d18383eb2af1fb777,Wynberg,0,0
132,Wynberg Indoor Hockey Arena,Hockey Arena,625,-34.005569730393816,18.460893630981445,4b5c852df964a520163429e3,Wynberg,2,0
133,BP,Gas Station,896,-34.00231298,18.4768358,4df5be06b0fb807158c9bc13,Wynberg,1,2
134,Wynberg Sportsfield,Athletics & Sports,997,-34.00262060032873,18.477994488197545,4dfc8f23b61c84188eed137c,Wynberg,0,1
135,Checkers,Convenience Store,838,-33.843976964481364,18.677121952643528,4c9164ccb641236abe4d8179,Kuils River,8,1
136,Cobble Walk,Shopping Mall,862,-33.84392872937349,18.677382931754114,4b587e2af964a5205e5a28e3,Kuils River,16,3
137,Sonstraal Dam,Lake,687,-33.84864124556197,18.6622953414917,4bcb21da0687ef3bd809ddcc,Kuils River,4,1
138,"Clicks, Cobble walk",Cosmetics Shop,872,-33.84410428593529,18.67751263055678,4cfe614f084f54811b3a9009,Kuils River,2,0
139,Mr Video,Video Store,938,-33.8444923301706,18.678248015380312,4c8e923c1992a1cdc8d5defb,Kuils River,0,0
